additive_id,product_id,additive_code,additive_name,risk_level,additive_safety_score
90,IN_8901725015275,E322,Lecithin,Low,100
91,IN_8901725015275,E450,E450,Low / Unclassified,100
92,IN_8901725015275,E450,E450,Low / Unclassified,100
93,IN_8901725015275,E471,E471,Low / Unclassified,100
94,IN_8901725015275,E500,E500,Low / Unclassified,100
95,IN_8901725015275,E500,E500,Low / Unclassified,100
96,IN_8901725015275,E503,E503,Low / Unclassified,100
97,IN_8901725015275,E503,E503,Low / Unclassified,100
98,IN_8901123001214,E202,E202,Low / Unclassified,100
99,IN_8901123001214,E281,E281,Low / Unclassified,100
100,IN_8901123001214,E341,E341,Low / Unclassified,100
101,IN_8901123001214,E401,E401,Low / Unclassified,100
102,IN_8901123001214,E406,E406,Low / Unclassified,100
103,IN_8901123001214,E407,E407,Low / Unclassified,100
104,IN_8901123001214,E415,Xanthan Gum,Low,100
105,IN_8901123001214,E420,E420,Low / Unclassified,100
106,IN_8901123001214,E422,E422,Low / Unclassified,100
107,IN_8901123001214,E440,E440,Low / Unclassified,100
108,IN_8901123001214,E461,E461,Low / Unclassified,100
109,IN_8901123001214,E500,E500,Low / Unclassified,100
110,IN_8901123001214,E503,E503,Low / Unclassified,100
111,IN_8901063139213,E110,Sunset Yellow,High,25
112,IN_8901063139213,E122,Azorubine,High,25
113,IN_8901063139213,E150,E150,Low / Unclassified,100
114,IN_8901063139213,E150,E150,Low / Unclassified,100
115,IN_8901063014299,E223,E223,Low / Unclassified,100
116,IN_8901063014299,E322,Lecithin,Low,100
117,IN_8901063014299,E500,E500,Low / Unclassified,100
118,IN_8901063014299,E503,E503,Low / Unclassified,100
119,IN_8901063016873,E223,E223,Low / Unclassified,100
120,IN_8901063016873,E330,Citric Acid,Low,100
121,IN_8901063016873,E341,E341,Low / Unclassified,100
122,IN_8901063016873,E472,E472,Low / Unclassified,100
123,IN_8901063016873,E500,E500,Low / Unclassified,100
124,IN_8901063016873,E503,E503,Low / Unclassified,100
125,IN_8901063142664,E223,E223,Low / Unclassified,100
126,IN_8901063142664,E322,Lecithin,Low,100
127,IN_8901063142664,E471,E471,Low / Unclassified,100
128,IN_8901063142664,E500,E500,Low / Unclassified,100
129,IN_8901063142664,E503,E503,Low / Unclassified,100
130,IN_8901491100533,E330,Citric Acid,Low,100
131,IN_8901725016296,E129,Allura Red AC,High,25
132,IN_8901725016296,E150,E150,Low / Unclassified,100
133,IN_8901725016296,E150,E150,Low / Unclassified,100
134,IN_8901725016296,E150,E150,Low / Unclassified,100
135,IN_8901725016296,E322,Lecithin,Low,100
136,IN_8901725016296,E322,Lecithin,Low,100
137,IN_8901725016296,E435,E435,Low / Unclassified,100
138,IN_8901725016296,E450,E450,Low / Unclassified,100
139,IN_8901725016296,E471,E471,Low / Unclassified,100
140,IN_8901725016296,E500,E500,Low / Unclassified,100
141,IN_8901725016296,E503,E503,Low / Unclassified,100
142,IN_8901719130144,E322,Lecithin,Low,100
143,IN_8901719130144,E322,Lecithin,Low,100
144,IN_8901719130144,E472,E472,Low / Unclassified,100
145,IN_8901719130144,E500,E500,Low / Unclassified,100
146,IN_8901719130144,E508,E508,Low / Unclassified,100
147,IN_8901719100369,E322,Lecithin,Low,100
148,IN_8901719100369,E322,Lecithin,Low,100
149,IN_8901719100369,E472,E472,Low / Unclassified,100
150,IN_8901719100369,E500,E500,Low / Unclassified,100
151,IN_8901719100369,E503,E503,Low / Unclassified,100
152,IN_8906010503550,E330,Citric Acid,Low,100
153,IN_8906010503550,E551,E551,Low / Unclassified,100
154,IN_8906010503550,E627,E627,Low / Unclassified,100
155,IN_8906010503550,E631,E631,Low / Unclassified,100
156,IN_8901058005080,E322,Lecithin,Low,100
157,IN_8901058005080,E322,Lecithin,Low,100
158,IN_8901058005080,E500,E500,Low / Unclassified,100
159,IN_8901058005080,E516,E516,Low / Unclassified,100
160,IN_19017198,E223,E223,Low / Unclassified,100
161,IN_8901063092822,E322,Lecithin,Low,100
162,IN_8901063092822,E500,E500,Low / Unclassified,100
163,IN_8901063092822,E503,E503,Low / Unclassified,100
164,IN_8901058022179,E476,E476,Low / Unclassified,100
165,IN_8901058022179,E500,E500,Low / Unclassified,100
166,IN_8901058022179,E516,E516,Low / Unclassified,100
167,IN_8901063142015,E223,E223,Low / Unclassified,100
168,IN_8901063142015,E322,Lecithin,Low,100
169,IN_8901063142015,E471,E471,Low / Unclassified,100
170,IN_8901063142015,E472,E472,Low / Unclassified,100
171,IN_8901063142015,E500,E500,Low / Unclassified,100
172,IN_8901063142015,E503,E503,Low / Unclassified,100
173,IN_8901725012953,E570,E570,Low / Unclassified,100
174,IN_8901063017627,E1101,E1101,Low / Unclassified,100
175,IN_8901063017627,E223,E223,Low / Unclassified,100
176,IN_8901063017627,E341,E341,Low / Unclassified,100
177,IN_8901063017627,E450,E450,Low / Unclassified,100
178,IN_8901063017627,E500,E500,Low / Unclassified,100
179,IN_8901063017627,E503,E503,Low / Unclassified,100
180,IN_8906009803777,E150,E150,Low / Unclassified,100
181,IN_8906009803777,E322,Lecithin,Low,100
182,IN_8906010500269,E160,E160,Low / Unclassified,100
183,IN_8906010500269,E170,E170,Low / Unclassified,100
184,IN_8906010500269,E330,Citric Acid,Low,100
185,IN_8906010500269,E340,E340,Low / Unclassified,100
186,IN_8906010500269,E414,E414,Low / Unclassified,100
187,IN_8906010500269,E471,E471,Low / Unclassified,100
188,IN_8906010500269,E551,E551,Low / Unclassified,100
189,IN_8906010500269,E627,E627,Low / Unclassified,100
190,IN_8906010500269,E631,E631,Low / Unclassified,100
191,IN_8906009070834,E322,Lecithin,Low,100
192,IN_8906009070834,E435,E435,Low / Unclassified,100
193,IN_8906009070834,E471,E471,Low / Unclassified,100
194,IN_8906009070834,E472,E472,Low / Unclassified,100
195,IN_8906009070834,E500,E500,Low / Unclassified,100
196,IN_8906009070834,E500,E500,Low / Unclassified,100
197,IN_8906009070834,E503,E503,Low / Unclassified,100
198,IN_8906009070834,E503,E503,Low / Unclassified,100
199,IN_8909081001123,E100,E100,Low / Unclassified,100
200,IN_8909081001123,E122,Azorubine,High,25
201,IN_8909081001123,E150,E150,Low / Unclassified,100
202,IN_8909081001123,E150,E150,Low / Unclassified,100
203,IN_8909081001123,E223,E223,Low / Unclassified,100
204,IN_8909081001123,E322,Lecithin,Low,100
205,IN_8909081001123,E322,Lecithin,Low,100
206,IN_8909081001123,E450,E450,Low / Unclassified,100
207,IN_8909081001123,E450,E450,Low / Unclassified,100
208,IN_8909081001123,E491,E491,Low / Unclassified,100
209,IN_8909081001123,E500,E500,Low / Unclassified,100
210,IN_8909081001123,E500,E500,Low / Unclassified,100
211,IN_8906032018810,E223,E223,Low / Unclassified,100
212,IN_8906032018810,E319,E319,Low / Unclassified,100
213,IN_8906032018810,E322,Lecithin,Low,100
214,IN_8906032018810,E322,Lecithin,Low,100
215,IN_8906032018810,E341,E341,Low / Unclassified,100
216,IN_8906032018810,E500,E500,Low / Unclassified,100
217,IN_8906032018810,E503,E503,Low / Unclassified,100
218,IN_8906032018810,E503,E503,Low / Unclassified,100
219,IN_8901725015886,E150,E150,Low / Unclassified,100
220,IN_8901725015886,E150,E150,Low / Unclassified,100
221,IN_8901725015886,E322,Lecithin,Low,100
222,IN_8901725015886,E322,Lecithin,Low,100
223,IN_8901725015886,E450,E450,Low / Unclassified,100
224,IN_8901725015886,E471,E471,Low / Unclassified,100
225,IN_8901725015886,E500,E500,Low / Unclassified,100
226,IN_8901725015886,E503,E503,Low / Unclassified,100
227,IN_8901719135156,E1100,E1100,Low / Unclassified,100
228,IN_8901719135156,E1101,E1101,Low / Unclassified,100
229,IN_8901719135156,E223,E223,Low / Unclassified,100
230,IN_8901719135156,E270,E270,Low / Unclassified,100
231,IN_8901719135156,E296,E296,Low / Unclassified,100
232,IN_8901063162648,E1101,E1101,Low / Unclassified,100
233,IN_8901063162648,E150,E150,Low / Unclassified,100
234,IN_8901063162648,E223,E223,Low / Unclassified,100
235,IN_8901063162648,E472,E472,Low / Unclassified,100
236,IN_8901063162648,E500,E500,Low / Unclassified,100
237,IN_8906009079165,E322,Lecithin,Low,100
238,IN_8906009079165,E476,E476,Low / Unclassified,100
239,IN_8906009079165,E500,E500,Low / Unclassified,100
240,IN_8906009079165,E500,E500,Low / Unclassified,100
241,IN_8906009079165,E503,E503,Low / Unclassified,100
242,IN_8906009079165,E503,E503,Low / Unclassified,100
243,IN_8901725015015,E102,Tartrazine,High,25
244,IN_8901725015015,E202,E202,Low / Unclassified,100
245,IN_8901725015015,E223,E223,Low / Unclassified,100
246,IN_8901725015015,E322,Lecithin,Low,100
247,IN_8901725015015,E322,Lecithin,Low,100
248,IN_8901725015015,E330,Citric Acid,Low,100
249,IN_8901725015015,E407,E407,Low / Unclassified,100
250,IN_8901725015015,E415,Xanthan Gum,Low,100
251,IN_8901725015015,E422,E422,Low / Unclassified,100
252,IN_8901725015015,E450,E450,Low / Unclassified,100
253,IN_8901725015015,E450,E450,Low / Unclassified,100
254,IN_8901725015015,E471,E471,Low / Unclassified,100
255,IN_8901725015015,E475,E475,Low / Unclassified,100
256,IN_8901725015015,E477,E477,Low / Unclassified,100
257,IN_8901725015015,E500,E500,Low / Unclassified,100
258,IN_8901725015015,E500,E500,Low / Unclassified,100
259,IN_8901725015015,E503,E503,Low / Unclassified,100
260,IN_8901719135767,E1101,E1101,Low / Unclassified,100
261,IN_8901719135767,E330,Citric Acid,Low,100
262,IN_8901719135767,E472,E472,Low / Unclassified,100
263,IN_8901719135767,E500,E500,Low / Unclassified,100
264,IN_8901719135767,E503,E503,Low / Unclassified,100
265,IN_8909081005053,E150,E150,Low / Unclassified,100
266,IN_8909081005053,E150,E150,Low / Unclassified,100
267,IN_8909081005053,E322,Lecithin,Low,100
268,IN_8909081005053,E322,Lecithin,Low,100
269,IN_8909081005053,E450,E450,Low / Unclassified,100
270,IN_8909081005053,E471,E471,Low / Unclassified,100
271,IN_8909081005053,E500,E500,Low / Unclassified,100
272,IN_8909081005053,E503,E503,Low / Unclassified,100
273,IN_8901063139336,E102,Tartrazine,High,25
274,IN_8901063139336,E110,Sunset Yellow,High,25
275,IN_8901063139336,E122,Azorubine,High,25
276,IN_8901063139336,E150,E150,Low / Unclassified,100
277,IN_8901063139336,E150,E150,Low / Unclassified,100
278,IN_8901063139336,E322,Lecithin,Low,100
279,IN_8901063139336,E500,E500,Low / Unclassified,100
280,IN_8901063139336,E503,E503,Low / Unclassified,100
281,IN_8901063142466,E472,E472,Low / Unclassified,100
282,IN_8901063142466,E500,E500,Low / Unclassified,100
283,IN_8901063142466,E503,E503,Low / Unclassified,100
284,IN_8908008674808,E322,Lecithin,Low,100
285,IN_8908008674808,E330,Citric Acid,Low,100
286,IN_8908008674808,E500,E500,Low / Unclassified,100
287,IN_8908008674808,E500,E500,Low / Unclassified,100
288,IN_8901063004139,E150,E150,Low / Unclassified,100
289,IN_8901063004139,E322,Lecithin,Low,100
290,IN_8901063004139,E500,E500,Low / Unclassified,100
291,IN_8901063004139,E503,E503,Low / Unclassified,100
292,IN_8901719134937,E500,E500,Low / Unclassified,100
293,IN_8901719134937,E503,E503,Low / Unclassified,100
294,IN_8901725016234,E322,Lecithin,Low,100
295,IN_8901725016234,E322,Lecithin,Low,100
296,IN_8901725016234,E471,E471,Low / Unclassified,100
297,IN_8901725016234,E503,E503,Low / Unclassified,100
298,IN_8906010500214,E414,E414,Low / Unclassified,100
299,IN_8901499008169,E150,E150,Low / Unclassified,100
300,IN_8901499008169,E150,E150,Low / Unclassified,100
301,IN_8901499008169,E307,E307,Low / Unclassified,100
302,IN_8901499010513,E307,E307,Low / Unclassified,100
303,IN_8901499010513,E320,BHA,High,25
304,IN_8904335604150,E322,Lecithin,Low,100
305,IN_8904335604150,E322,Lecithin,Low,100
306,IN_8904335604150,E392,E392,Low / Unclassified,100
307,IN_8901499023339,E140,E140,Low / Unclassified,100
308,IN_8901499023339,E150,E150,Low / Unclassified,100
309,IN_8901499023339,E307,E307,Low / Unclassified,100
310,IN_8906113490887,E162,E162,Low / Unclassified,100
311,IN_8906113490887,E170,E170,Low / Unclassified,100
312,IN_8906113490887,E170,E170,Low / Unclassified,100
313,IN_8906113490887,E320,BHA,High,25
314,IN_8906113490887,E322,Lecithin,Low,100
315,IN_8906113490887,E330,Citric Acid,Low,100
316,IN_8908005144618,E392,E392,Low / Unclassified,100
317,IN_8901499010483,E307,E307,Low / Unclassified,100
318,IN_8901499010483,E320,BHA,High,25
319,IN_8904335601869,E322,Lecithin,Low,100
320,IN_8904335601869,E322,Lecithin,Low,100
321,IN_8901499010742,E150,E150,Low / Unclassified,100
322,IN_8901499010742,E320,BHA,High,25
323,IN_8901499010742,E476,E476,Low / Unclassified,100
324,IN_8901499008244,E150,E150,Low / Unclassified,100
325,IN_8901499008244,E320,BHA,High,25
326,IN_8901491363020,E150,E150,Low / Unclassified,100
327,IN_8901491363020,E330,Citric Acid,Low,100
328,IN_8901491363020,E627,E627,Low / Unclassified,100
329,IN_8901491363020,E631,E631,Low / Unclassified,100
330,IN_8901499008183,E320,BHA,High,25
331,IN_8901499009623,E322,Lecithin,Low,100
332,IN_8901499009623,E322,Lecithin,Low,100
333,IN_8908002984958,E162,E162,Low / Unclassified,100
334,IN_8908002984958,E170,E170,Low / Unclassified,100
335,IN_8908002984958,E170,E170,Low / Unclassified,100
336,IN_8908002984958,E307,E307,Low / Unclassified,100
337,IN_8908002984958,E322,Lecithin,Low,100
338,IN_8903363007643,E150,E150,Low / Unclassified,100
339,IN_8903363007643,E306,E306,Low / Unclassified,100
340,IN_8903363007643,E322,Lecithin,Low,100
341,IN_8903363007643,E322,Lecithin,Low,100
342,IN_8901499011398,E150,E150,Low / Unclassified,100
343,IN_8901499011398,E307,E307,Low / Unclassified,100
344,IN_8906112662803,E392,E392,Low / Unclassified,100
345,IN_8904335600343,E322,Lecithin,Low,100
346,IN_8904335600343,E322,Lecithin,Low,100
347,IN_8904335600343,E392,E392,Low / Unclassified,100
348,IN_8901499008190,E320,BHA,High,25
349,IN_8901499010476,E307,E307,Low / Unclassified,100
350,IN_8901088772433,E296,E296,Low / Unclassified,100
351,IN_8901088772433,E627,E627,Low / Unclassified,100
352,IN_8901088772433,E631,E631,Low / Unclassified,100
353,IN_8901499010216,E307,E307,Low / Unclassified,100
354,IN_8904335600756,E392,E392,Low / Unclassified,100
355,IN_8901499010773,E150,E150,Low / Unclassified,100
356,IN_8901499010773,E320,BHA,High,25
357,IN_8903363007636,E150,E150,Low / Unclassified,100
358,IN_8903363007636,E306,E306,Low / Unclassified,100
359,IN_8903363007636,E307,E307,Low / Unclassified,100
360,IN_8903363007636,E322,Lecithin,Low,100
361,IN_8903363007636,E322,Lecithin,Low,100
362,IN_8901499008893,E307,E307,Low / Unclassified,100
363,IN_8906127551086,E392,E392,Low / Unclassified,100
364,IN_8906113490894,E170,E170,Low / Unclassified,100
365,IN_8906113490894,E170,E170,Low / Unclassified,100
366,IN_8906113490894,E320,BHA,High,25
367,IN_8906113490894,E322,Lecithin,Low,100
368,IN_8906113490894,E322,Lecithin,Low,100
369,IN_8908002984965,E170,E170,Low / Unclassified,100
370,IN_8908002984965,E170,E170,Low / Unclassified,100
371,IN_8908002984965,E307,E307,Low / Unclassified,100
372,IN_8908002984965,E320,BHA,High,25
373,IN_8908002984965,E330,Citric Acid,Low,100
374,IN_8906113490801,E320,BHA,High,25
375,IN_8906113490801,E414,E414,Low / Unclassified,100
376,IN_8906113490801,E551,E551,Low / Unclassified,100
377,IN_8906113490801,E627,E627,Low / Unclassified,100
378,IN_8906113490801,E631,E631,Low / Unclassified,100
379,IN_8906127551437,E392,E392,Low / Unclassified,100
380,IN_8901499008176,E320,BHA,High,25
381,IN_8901499009289,E150,E150,Low / Unclassified,100
382,IN_8901499009289,E320,BHA,High,25
383,IN_8901499009715,E320,BHA,High,25
384,IN_8901499009715,E500,E500,Low / Unclassified,100
385,IN_8901499009715,E500,E500,Low / Unclassified,100
386,IN_8906014903592,E307,E307,Low / Unclassified,100
387,IN_8906014903592,E322,Lecithin,Low,100
388,IN_8906014903592,E330,Citric Acid,Low,100
389,IN_8901499010506,E307,E307,Low / Unclassified,100
390,IN_8901499010506,E320,BHA,High,25
391,IN_8901262070546,E322,Lecithin,Low,100
392,IN_8901262070546,E492,E492,Low / Unclassified,100
393,IN_7622202325960,E442,E442,Low / Unclassified,100
394,IN_7622202325960,E476,E476,Low / Unclassified,100
395,IN_7622202318078,E442,E442,Low / Unclassified,100
396,IN_7622202318078,E471,E471,Low / Unclassified,100
397,IN_7622202318078,E476,E476,Low / Unclassified,100
398,IN_8901262070676,E322,Lecithin,Low,100
399,IN_8901262070676,E476,E476,Low / Unclassified,100
400,IN_7622202324260,E442,E442,Low / Unclassified,100
401,IN_7622202324260,E476,E476,Low / Unclassified,100
402,IN_8901058861921,E322,Lecithin,Low,100
403,IN_8901058861921,E322,Lecithin,Low,100
404,IN_8901123005403,E202,E202,Low / Unclassified,100
405,IN_8901123005403,E281,E281,Low / Unclassified,100
406,IN_8901123005403,E322,Lecithin,Low,100
407,IN_8901123005403,E401,E401,Low / Unclassified,100
408,IN_8901123005403,E406,E406,Low / Unclassified,100
409,IN_8901123005403,E407,E407,Low / Unclassified,100
410,IN_8901123005403,E415,Xanthan Gum,Low,100
411,IN_8901123005403,E420,E420,Low / Unclassified,100
412,IN_8901123005403,E422,E422,Low / Unclassified,100
413,IN_8901123005403,E440,E440,Low / Unclassified,100
414,IN_8901123005403,E461,E461,Low / Unclassified,100
415,IN_8901123005403,E476,E476,Low / Unclassified,100
416,IN_8901123005403,E503,E503,Low / Unclassified,100
417,IN_8901058903966,E322,Lecithin,Low,100
418,IN_8901058903966,E322,Lecithin,Low,100
419,IN_8901058903966,E330,Citric Acid,Low,100
420,IN_8901058903966,E501,E501,Low / Unclassified,100
421,IN_8901262070454,E322,Lecithin,Low,100
422,IN_8901262070454,E476,E476,Low / Unclassified,100
423,IN_8901262071048,E322,Lecithin,Low,100
424,IN_8901262071048,E476,E476,Low / Unclassified,100
425,IN_8901262071048,E965,E965,Low / Unclassified,100
426,IN_89008492,E162,E162,Low / Unclassified,100
427,IN_89008492,E322,Lecithin,Low,100
428,IN_89008492,E322,Lecithin,Low,100
429,IN_89008492,E330,Citric Acid,Low,100
430,IN_89008492,E501,E501,Low / Unclassified,100
431,IN_7622202346385,E442,E442,Low / Unclassified,100
432,IN_7622202346385,E476,E476,Low / Unclassified,100
433,IN_8901262070539,E322,Lecithin,Low,100
434,IN_8901262070539,E476,E476,Low / Unclassified,100
435,IN_7622202030819,E442,E442,Low / Unclassified,100
436,IN_7622202030819,E476,E476,Low / Unclassified,100
437,IN_7622202290428,E442,E442,Low / Unclassified,100
438,IN_7622202290428,E476,E476,Low / Unclassified,100
439,IN_7622202237942,E442,E442,Low / Unclassified,100
440,IN_7622202237942,E476,E476,Low / Unclassified,100
441,IN_8000500126936,E322,Lecithin,Low,100
442,IN_8000500126936,E322,Lecithin,Low,100
443,IN_8000500126936,E500,E500,Low / Unclassified,100
444,IN_8000500126936,E500,E500,Low / Unclassified,100
445,IN_8901262071703,E322,Lecithin,Low,100
446,IN_8901262071703,E476,E476,Low / Unclassified,100
447,IN_7622202031618,E1400,E1400,Low / Unclassified,100
448,IN_7622202031618,E414,E414,Low / Unclassified,100
449,IN_7622202031618,E442,E442,Low / Unclassified,100
450,IN_7622202031618,E476,E476,Low / Unclassified,100
451,IN_7622202031618,E904,E904,Low / Unclassified,100
452,IN_8906002484003,E322,Lecithin,Low,100
453,IN_8902433003134,E322,Lecithin,Low,100
454,IN_8901058009439,E476,E476,Low / Unclassified,100
455,IN_8901058009439,E516,E516,Low / Unclassified,100
456,IN_7622202329494,E442,E442,Low / Unclassified,100
457,IN_7622202329494,E476,E476,Low / Unclassified,100
458,IN_7622202326202,E442,E442,Low / Unclassified,100
459,IN_7622202326202,E476,E476,Low / Unclassified,100
460,IN_8901262071130,E322,Lecithin,Low,100
461,IN_8901262071130,E476,E476,Low / Unclassified,100
462,IN_8901262070324,E322,Lecithin,Low,100
463,IN_8901262070324,E476,E476,Low / Unclassified,100
464,IN_8901262070324,E965,E965,Low / Unclassified,100
465,IN_7622202324758,E442,E442,Low / Unclassified,100
466,IN_7622202324758,E450,E450,Low / Unclassified,100
467,IN_7622202324758,E476,E476,Low / Unclassified,100
468,IN_7622202324758,E500,E500,Low / Unclassified,100
469,IN_7622201710606,E442,E442,Low / Unclassified,100
470,IN_7622201710606,E471,E471,Low / Unclassified,100
471,IN_7622201710606,E476,E476,Low / Unclassified,100
472,IN_7622201710606,E544,E544,Low / Unclassified,100
473,IN_8901058005905,E322,Lecithin,Low,100
474,IN_8901058005905,E322,Lecithin,Low,100
475,IN_8901058005905,E500,E500,Low / Unclassified,100
476,IN_8901058005905,E516,E516,Low / Unclassified,100
477,IN_8901262071086,E1101,E1101,Low / Unclassified,100
478,IN_8901262071086,E322,Lecithin,Low,100
479,IN_8901262071086,E476,E476,Low / Unclassified,100
480,IN_8901262071086,E500,E500,Low / Unclassified,100
481,IN_7622202294426,E442,E442,Low / Unclassified,100
482,IN_7622202294426,E476,E476,Low / Unclassified,100
483,IN_7622202320330,E322,Lecithin,Low,100
484,IN_7622202320330,E422,E422,Low / Unclassified,100
485,IN_7622202320330,E471,E471,Low / Unclassified,100
486,IN_7622202320330,E476,E476,Low / Unclassified,100
487,IN_7622202818301,E442,E442,Low / Unclassified,100
488,IN_7622202818301,E476,E476,Low / Unclassified,100
489,IN_8902433005732,E322,Lecithin,Low,100
490,IN_8902433003677,E322,Lecithin,Low,100
491,IN_8902433003677,E422,E422,Low / Unclassified,100
492,IN_8902433003677,E476,E476,Low / Unclassified,100
493,IN_7622201415662,E442,E442,Low / Unclassified,100
494,IN_7622201415662,E476,E476,Low / Unclassified,100
495,IN_8901262072267,E322,Lecithin,Low,100
496,IN_8901262072267,E476,E476,Low / Unclassified,100
497,IN_8906088701223,E322,Lecithin,Low,100
498,IN_8906088701223,E476,E476,Low / Unclassified,100
499,IN_8901058000290,E150,E150,Low / Unclassified,100
500,IN_8901058000290,E330,Citric Acid,Low,100
501,IN_8901058000290,E412,Guar Gum,Low,100
502,IN_8901058000290,E451,E451,Low / Unclassified,100
503,IN_8901058000290,E500,E500,Low / Unclassified,100
504,IN_8901058000290,E501,E501,Low / Unclassified,100
505,IN_8901058000290,E508,E508,Low / Unclassified,100
506,IN_8901058000290,E635,E635,Low / Unclassified,100
507,IN_8901058000306,E150,E150,Low / Unclassified,100
508,IN_8901058000306,E330,Citric Acid,Low,100
509,IN_8901058000306,E412,Guar Gum,Low,100
510,IN_8901058000306,E451,E451,Low / Unclassified,100
511,IN_8901058000306,E500,E500,Low / Unclassified,100
512,IN_8901058000306,E501,E501,Low / Unclassified,100
