nutrition_id,product_id,basis,energy_kcal,protein_g,fat_g,saturated_fat_g,sugars_g,fiber_g,sodium_mg,uk_npm_nutrition_score
104,IN_8901088155496,per_100g,369.0,12.6,8.0,1.6,0.5,10.4,0.0,81.82
105,IN_8901088055772,per_100g,369.0,12.6,8.0,1.6,0.5,10.4,5.0,80.0
106,IN_8901499008244,per_100g,390.0,8.6,3.0,1.3,30.0,3.5,160.0,54.55
107,IN_8904335601890,per_100g,386.0,23.0,10.7,3.9,20.2,7.5,89.6,60.0
108,IN_8901499009043,per_100g,373.0,9.0,3.0,1.2,27.5,7.0,250.0,56.36
109,IN_8901499010728,per_100g,373.0,9.0,3.0,1.0,,,0.0,74.55
110,IN_8906136651951,per_100g,392.0,25.0,8.0,2.1,14.0,9.6,130.0,61.82
111,IN_8901499009708,per_100g,430.0,8.0,14.0,4.8,30.5,6.2,270.0,50.91
112,IN_8901491363020,per_100g,558.0,5.6,34.5,15.5,20.0,12.0,723.0,30.91
113,IN_8901499008183,per_100g,380.0,6.6666666666667,1.0,0.66666666666667,8.3333333333333,2.6666666666667,500.0,65.45
114,IN_8901499009623,per_100g,432.0,7.0,14.0,4.8,30.5,5.0,300.0,49.09
115,IN_8906080349652,per_100g,400.0,8.0,1.5,0.0,1.6,,100.0,70.91
116,IN_0641837433199,per_100g,393.47,27.04,8.15,2.08,14.52,9.75,132.78,61.82
117,IN_8906136651982,per_100g,390.0,24.0,8.0,1.6,17.0,10.0,158.0,72.73
118,IN_8901042967325,per_100g,249.0,4.8,7.2,3.0,2.7,1.8,320.0,63.64
119,IN_8901499010704,per_100g,384.0,9.6,2.6,1.0,24.0,,0.0,65.45
120,IN_8908002984958,per_100g,,,,,,,0.0,72.73
121,IN_8903363007643,per_100g,386.0,6.6,2.4,1.1,27.9,,100.0,50.91
122,IN_8904335600336,per_100g,417.5,13.0,9.5,2.0,4.75,7.5,61.25,78.18
123,IN_8901499010711,per_100g,387.0,9.0,2.9,1.2,30.5,5.0,132.0,60.0
124,IN_8901499011398,per_100g,389.0,8.0,5.9,1.0,21.7,6.8,0.0,74.55
125,IN_8901499006936,per_100g,387.0,9.0,2.9,1.2,30.0,5.0,330.0,54.55
126,IN_8906112662803,per_100g,425.4,13.5,10.9,3.5,0.0,11.5,0.0,76.36
127,IN_8906112662414,per_100g,410.9,12.0,10.0,2.9,0.0,9.5,5.4,78.18
128,IN_8904335600343,per_100g,437.5,12.25,13.25,5.0,6.75,9.5,90.5,61.82
129,IN_8901499008190,per_100g,378.0,6.7,1.0,0.6,9.2,2.5,490.0,56.36
130,IN_8901499009135,per_100g,378.0,6.7,1.0,0.6,9.2,2.5,490.0,56.36
131,IN_8901499010476,per_100g,382.0,9.3,5.2,0.8,10.7,6.4,0.0,80.0
132,IN_8901088213974,per_100g,370.0,12.5,8.0,1.5,0.5,10.5,5.0,81.82
133,IN_8901088772433,per_100g,377.142857142857,8.0,8.85714285714286,1.71428571428571,5.71428571428571,8.28571428571429,1285.71428571429,52.73
134,IN_8904335600800,per_100g,387.0,12.6,8.4,1.7,1.7,10.0,9.5,81.82
135,IN_8906136651975,per_100g,390.0,24.0,8.0,1.7,17.0,10.0,158.0,72.73
136,IN_8906008350500,per_100g,402.0,11.0,10.0,2.0,2.0,14.0,0.0,80.0
137,IN_8901499010216,per_100g,378.0,6.7,1.0,0.6,9.2,2.5,490.0,56.36
138,IN_8901491103787,per_100g,407.0,11.8,9.5,2.0,0.0,,3800.0,43.64
139,IN_8904335600756,per_100g,413.0,11.2,10.9,2.6,18.1,10.0,59.2,61.82
140,IN_8901499010773,per_100g,390.0,8.66666666666667,3.0,1.33333333333333,30.0,3.66666666666667,400.0,50.91
141,IN_8903363007636,per_100g,387.5,6.5,2.9,1.2,32.7,0.0,112.0,49.09
142,IN_8901499008893,per_100g,378.0,6.7,1.0,0.6,9.2,,400.0,61.82
143,IN_8901499008343,per_100g,409.0,6.2,8.7,4.0,30.0,1.8,430.0,41.82
144,IN_8904320002565,per_100g,398.0,17.83,7.38,1.31,1.0,14.1,0.00505,80.0
145,IN_8906127551086,per_100g,451.0,25.0,16.5,3.8,6.3,11.0,42.5,72.73
146,IN_8901499010230,per_100g,379.0,11.6,9.0,1.7,1.3,10.0,7.0,81.82
147,IN_8901058003970,per_100g,279.0,6.2,2.2,1.6,22.0,5.1,146400.0,49.09
148,IN_8906113490894,per_100g,405.0,8.8,5.7,1.6,16.0,8.7,185.0,61.82
149,IN_8901088759533,per_100g,365.789473684211,8.68421052631579,7.63157894736842,1.84210526315789,6.05263157894737,9.73684210526316,2088.94736842105,50.91
150,IN_8904335600329,per_100g,408.0,12.0,11.6,3.4,14.9,10.0,114.3,60.0
151,IN_8901499008299,per_100g,378.0,6.7,1.0,0.6,9.2,2.5,0.0,72.73
152,IN_8908002984965,per_100g,390.0,11.5,11.7,2.9,3.9,7.9,65.0,80.0
153,IN_8906113490801,per_100g,400.0,11.3,10.4,4.1,6.3,10.8,1900.0,47.27
154,IN_8901499011466,per_100g,409.0,6.2,6.7,4.0,30.0,1.8,430.0,41.82
155,IN_8904335600312,per_100g,418.0,13.0,9.5,1.9,4.8,7.4,61200.0,50.91
156,IN_8903363008770,per_100g,407.0,12.1,9.7,1.8,0.9,,2.7,70.91
157,IN_8904132928657,per_100g,428.0,12.2,9.1,1.8,1.3,10.7,5.7,80.0
158,IN_8908003833002,per_100g,357.0,7.0,,,,,0.0,72.73
159,IN_8901499011176,per_100g,391.0,6.5,3.0,,,,0.0,72.73
160,IN_8906127551437,per_100g,457.77,22.0,18.6,3.1,5.0,11.02,13240.0,45.45
161,IN_8901499011992,per_100g,444.0,7.7,15.5,6.8,26.9,6.0,227.0,49.09
162,IN_8904335602521,per_100g,437.0,12.3,13.3,4.3,6.7,9.4,90.6,61.82
163,IN_8904335603405,per_100g,386.0,23.0,10.7,3.9,20.2,7.5,89.6,60.0
164,IN_8901499008176,per_100g,,,,,,,0.0,72.73
165,IN_8906002348169,per_100g,390.0,,1.0,0.0,0.0,3.0,12.192,70.91
166,IN_8901499009289,per_100g,410.0,6.33333333333333,6.66666666666667,4.0,25.0,1.66666666666667,433.33333333333303,43.64
167,IN_8902710100150,per_100g,397.142857142857,14.2857142857143,8.57142857142857,1.42857142857143,0.0,10.2857142857143,4.85714285714286,81.82
168,IN_8901499009715,per_100g,444.0,7.0,16.0,5.0,28.0,5.0,300.0,49.09
169,IN_8906014903592,per_100g,344.0,8.2,2.2,0.04,12.0,6.3,77.5,80.0
170,IN_8901499010506,per_100g,395.0,8.3,6.5,0.7,21.5,6.0,100.0,74.55
171,IN_7622202334009,per_100g,525.0,6.8,27.9,18.7,58.8,0.0,107.0,23.64
172,IN_8901262070546,per_100g,526.0,5.3,29.3,28.3,56.6,,60.0,25.45
173,IN_7622202325960,per_100g,598.0,7.6,47.4,32.1,24.4,,0.0,32.73
174,IN_7622202318078,per_100g,444.0,3.3,15.9,10.1,55.5,,170.0,25.45
175,IN_8901262070676,per_100g,520.25202520252,6.40864086408641,33.1233123312331,18.5418541854185,43.024302430243,0.0,37.983798379838,27.27
176,IN_7622202272639,per_100g,504.761904761905,7.61904761904762,27.6190476190476,,,,0.0,69.09
177,IN_7622202324260,per_100g,531.0,7.9,29.0,19.6,57.0,,129.0,23.64
178,IN_8901058875577,per_100g,524.0,11.1,30.0,28.7,40.9,,117.1,25.45
179,IN_8901262071864,per_100g,552.0,14.7,40.8,23.1,1.2,,60.0,43.64
180,IN_8901058861921,per_100g,524.0,11.1,30.0,28.7,40.9,,117.0,25.45
181,IN_8901123005403,per_100g,434.478284553214,3.92857142857143,17.1428571428571,12.8571428571429,37.1428571428571,,764.285714285714,16.36
182,IN_8901058903966,per_100g,426.0,3.8,16.8,13.6,49.2,,86.4,27.27
183,IN_7622201762063,per_100g,531.0,7.9,29.0,19.6,57.0,,129.0,23.64
184,IN_7622202245558,per_100g,532.0,7.8,29.2,,,,0.0,69.09
185,IN_8901262070454,per_100g,521.0,6.4,33.1,18.6,42.0,,38.0,27.27
186,IN_8902433005763,per_100g,568.0,7.5,43.1,25.8,26.9,,6.4,34.55
187,IN_7622202307171,per_100g,475.0,1.6,18.2,18.0,73.4,,10.0,27.27
188,IN_8901262071048,per_100g,558.0,6.0,33.8,20.7,0.5,,38.0,43.64
189,IN_80135890,per_100g,550.0,8.2,32.0,14.5,51.0,,127.2,23.64
190,IN_7622202325991,per_100g,543.0,5.6,34.3,23.0,45.1,,15.8,25.45
191,IN_89008492,per_100g,496.0,5.0,15.1,13.6,52.0,,93100.0,9.09
192,IN_7622202324871,per_100g,520.0,8.5,28.4,16.4,54.4,,106.0,23.64
193,IN_8901058018639,per_100g,524.0,,,,,,0.0,61.82
194,IN_7622202346385,per_100g,531.0,7.9,29.0,19.6,57.0,0.0,0.0,25.45
195,IN_8901262070539,per_100g,499.0,7.2,32.5,16.2,38.3,,33.0,29.09
196,IN_7622202030819,per_100g,523.2,5.8,31.1,19.3,45.6,,14.0,25.45
197,IN_7622202025426,per_100g,532.0,7.8,29.2,19.6,57.0,1.0,1000.0,9.09
198,IN_7622202290428,per_100g,560.0,9.7,35.2,19.1,46.7,,1000.0,7.27
199,IN_7622202237942,per_100g,526.0,6.8,28.0,18.6,58.8,,107.0,23.64
200,IN_8000500126936,per_100g,584.0,8.0,40.0,16.0,40.0,0.0,80.0,27.27
201,IN_8901262071703,per_100g,554.0,6.2,34.0,20.8,44.2,,5.0,27.27
202,IN_7622202031618,per_100g,511.0,5.0,24.8,13.9,57.4,,117.0,23.64
203,IN_8906002484003,per_100g,477.0,7.2,22.65,10.2,55.9,,231.0,23.64
204,IN_8902433003134,per_100g,501.0,9.9,26.6,10.6,44.8,,200.0,23.64
205,IN_8901058009439,per_100g,464.646464646465,5.05050505050505,23.2323232323232,23.2323232323232,39.3939393939394,,84.8484848484848,30.91
206,IN_7622202326110,per_100g,563.0,6.0,34.8,22.3,48.9,,207.0,20.0
207,IN_7622202324604,per_100g,531.0,7.9,29.0,19.6,57.0,,129.0,23.64
208,IN_7622202329494,per_100g,531.0,7.9,29.0,19.6,57.0,,129.0,23.64
209,IN_7622202326202,per_100g,532.0,7.8,30.4,18.7,50.9,,104.0,23.64
210,IN_7622202818332,per_100g,524.0,6.8,27.7,18.7,58.9,0.0,0.0,25.45
211,IN_7622202030758,per_100g,543.5,5.6,34.3,23.0,45.1,,15.8,25.45
212,IN_7622202030840,per_100g,533.0,6.4,32.8,,,,0.0,67.27
213,IN_7622202294396,per_100g,533.0,6.4,32.8,19.9,44.2,,16.0,27.27
214,IN_8901262070836,per_100g,538.0,9.6,39.8,22.2,25.3,0.0,0.0,34.55
215,IN_8906051682207,per_100g,558.0,3.3,36.0,34.0,50.0,5.38,22.0,32.73
216,IN_8901262071130,per_100g,523.0,12.8,39.5,22.2,10.8,,58.0,40.0
217,IN_8909081000249,per_100g,474.0,4.9,18.2,46.5,192.0,,1765.0,9.09
218,IN_8901262070324,per_100g,558.0,6.0,33.8,20.7,0.5,,38.0,43.64
219,IN_7622202329555,per_100g,520.0,8.5,28.5,16.4,,,106.0,41.82
220,IN_7622202324758,per_100g,523.0,5.2,27.6,17.7,50.2,,192.0,21.82
221,IN_7622202325847,per_100g,520.3,5.2,28.7,19.2,24.0,,17000.0,25.45
222,IN_7622201710606,per_100g,444.0,3.3,15.9,10.1,55.5,,170.0,25.45
223,IN_8901058852165,per_100g,489.0,7.5,22.7,15.2,41.1,3.5,84.5,32.73
224,IN_8901058005905,per_100g,390.0,3.9,22.5,22.2,37.7,3.8,9.719999999999999,40.0
225,IN_8901262071086,per_100g,520.0,5.3,28.7,16.7,32.0,,20.0,30.91
226,IN_7622202398735,per_100g,532.0,7.8,29.2,,,,0.0,69.09
227,IN_8902433005688,per_100g,568.0,7.5,43.1,25.8,27.0,,6.4,34.55
228,IN_7622202292927,per_100g,543.0,7.6,31.2,21.5,55.3,,125.0,23.64
229,IN_7622202294426,per_100g,498.0,5.7,26.0,17.5,57.0,,82.3,25.45
230,IN_8906020491342,per_100g,560.0,3.0,37.0,17.0,38.0,,0.0,29.09
231,IN_7622202290756,per_100g,566.0,8.7,36.8,19.2,46.6,,104.0,21.82
232,IN_7622202320330,per_100g,521.0,4.4,28.1,21.8,48.2,,218.0,21.82
233,IN_7622202818301,per_100g,,,,,,,0.0,72.73
234,IN_7622202398698,per_100g,532.0,7.8,29.2,19.6,57.0,,129.0,23.64
235,IN_8902433005732,per_100g,,,,,,,0.0,72.73
236,IN_8902433003677,per_100g,,,,,,,0.0,72.73
237,IN_7622201415662,per_100g,,,,,,,0.0,72.73
238,IN_8906143890510,per_100g,576.7,8.1,39.0,21.0,29.7,9.7,13.299999999999999,40.0
239,IN_8901262072670,per_100g,521.0,6.4,33.1,18.6,43.0,,38.0,27.27
240,IN_8901262072267,per_100g,570.0,10.0,36.2,21.9,50.7,0.0,0.0,23.64
241,IN_6942836717957,per_100g,553.0,8.8,32.1,,51.8,,0.0,43.64
242,IN_7622202329586,per_100g,516.0,7.7,26.0,17.5,51.6,,236.0,21.82
243,IN_8906144680127,per_100g,547.0,7.9,32.0,,52.0,,0.0,43.64
244,IN_8906088701223,per_100g,600.0,10.0,45.0,29.0,12.0,15.0,30.0,49.09
245,IN_8901071704892,per_100g,504.854368932039,5.8252427184466,24.2718446601942,,,,150.48543689320402,65.45
246,IN_7622202326059,per_100g,553.0,8.7,35.1,22.5,46.1,,140.0,23.64
247,IN_8901233030548,per_100g,527.0,5.6,27.9,18.7,61.0,0.0,92.3,23.64
248,IN_7622201761530,per_100g,532.0,7.8,30.4,18.7,50.9,,104.0,23.64
249,IN_7622201150242,per_100g,522.0,8.5,28.6,16.4,52.3,0.0,0.0,25.45
250,IN_8902433003615,per_100g,539.0,6.8,32.3,20.1,54.7,0.0,0.0,25.45
251,IN_8901058000290,per_100g,,,,,,,0.0,72.73
252,IN_8901058000306,per_100g,442.857142857143,8.57142857142857,18.5714285714286,10.0,1.42857142857143,2.85714285714286,1028.57142857143,34.55
253,IN_8901058023787,per_100g,384.0,8.2,12.5,8.2,1.8,,1000.0,32.73
254,IN_8901058023800,per_100g,310.0,6.0,13.0,7.0,4.0,2.0,970.0,41.82
255,IN_8909081005251,per_100g,456.0,9.2,19.2,10.0,3.2,,1194.3999999999999,29.09
256,IN_8901058009729,per_100g,314.0,7.7,10.3,8.5,2.5,4.5,798.9000000000001,43.64
257,IN_8901725005986,per_100g,,,,,,,0.0,50.0
258,IN_8901058851298,per_100g,437.0,10.4,15.7,6.8,5.0,3.9,1232.2,40.0
259,IN_19010588,per_100g,434.0,8.5,15.6,7.2,1.7,2.0,1255.1000000000001,36.36
260,IN_8901595851218,per_100g,371.0,11.2,0.5,0.1,0.0,8.9,553.0,72.73
261,IN_8901058022193,per_100g,384.0,8.2,12.5,8.2,1.8,,1000000.0,32.73
262,IN_0941458000290,per_100g,442.857142857143,8.57142857142857,18.5714285714286,8.57142857142857,2.85714285714286,2.85714285714286,671.428571428571,41.82
263,IN_8901030976735,per_100g,418.0,9.4,14.1,6.6,3.7,5.0,1944.0,43.64
264,IN_8901058014235,per_100g,384.0,8.2,12.5,8.2,1.8,,1000.0,32.73
265,IN_8901014000159,per_100g,477.3,0.44,19.07,0.099,3.93,3.0,3324.0,50.91
266,IN_8901725005887,per_100g,459.0,9.0,20.1,10.7,3.0,0.0,498.84000000000003,36.36
267,IN_8901014000371,per_100g,,,,,,,0.0,72.73
268,IN_8901058008999,per_100g,384.0,8.2,12.5,8.2,1.8,2.85714285714286,1028.3,38.18
269,IN_8901058008050,per_100g,384.0,8.2,12.5,8.0,1.8,0.0,1028.3,34.55
270,IN_8901058022872,per_100g,314.48275862069,7.72413793103448,10.3448275862069,8.55172413793103,2.48275862068966,4.55172413793103,799.310344827586,43.64
271,IN_8901014000166,per_100g,476.96,6.78,19.04,8.19,4.54,,1876.31,29.09
272,IN_8906013030022,per_100g,470.0,10.0,21.0,9.5,2.1,,1680.0,29.09
273,IN_8901014000425,per_100g,493.4,5.38,22.13,,4.18,,0.0,67.27
274,IN_8901030865855,per_100g,437.0,10.2,15.8,7.6,10.3,1.1,1910.0,30.91
275,IN_8901058019339,per_100g,384.0,8.2,12.5,8.2,1.8,,1028.3,32.73
276,IN_8801043054768,per_100g,102.697777230469,2.34375,3.1640625,1.5234375,1.15234375,,421.875,63.64
277,IN_8906078721965,per_100g,432.89,9.27,15.6,1.12,4.27,7.99,1367.25,52.73
278,IN_8901058009705,per_100g,,,,,,,0.0,72.73
279,IN_8901058017793,per_100g,384.0,9.0,,,9.0,,0.0,72.73
280,IN_8901014002061,per_100g,1.4285714285714,8.2,15.828571428571,7.7142857142857,1.7857142857143,,1232.14285714292,41.82
281,IN_8901058000191,per_100g,384.285714285714,8.14285714285714,12.5714285714286,8.14285714285714,1.85714285714286,,1028.2857142857101,32.73
282,IN_8901014004836,per_100g,468.0,8.5,18.0,9.23,3.0,,1400.0,29.09
283,IN_8901741000927,per_100g,495.0,10.7,21.5,9.7,2.1,,1680.0,29.09
284,IN_8906090575546,per_100g,438.0,9.0,15.9,4.1,6.7,,1920000.0,36.36
285,IN_8901014000470,per_100g,,,,,,,0.0,72.73
286,IN_8901058851328,per_100g,437.14285714286,10.42857170105,15.714285714286,7.1428571428571,3.4285715648106,,1232.14285714292,32.73
287,IN_8901595963348,per_100g,433.333333333333,9.66666666666667,15.6666666666667,9.0,4.16666666666667,8.83333333333333,1673.33333333333,40.0
288,IN_8901014004935,per_100g,463.0,10.7,18.4,9.38,1.6,0.0,1392.0,29.09
289,IN_8901014003181,per_100g,445.35,8.93,15.14,8.74,2.94,0.0,1742.37,30.91
290,IN_8901725006006,per_100g,448.0,9.6,18.6,9.6,3.6,,1485.3,29.09
291,IN_8901058003734,per_100g,321.111111111111,8.22222222222222,13.5555555555556,7.55555555555556,3.22222222222222,,0.0,52.73
292,IN_8901014004744,per_100g,493.14,10.3,21.02,10.5,2.76,,1468.8799999999999,25.45
293,IN_8906090575539,per_100g,431.0,11.4,13.7,3.7,4.0,,1852.0,40.0
294,IN_8901014012114,per_100g,484.62,12.19,20.26,,5.16,,1440.16,43.64
295,IN_8901058006148,per_100g,401.408450704225,7.74647887323944,11.830985915493,7.6056338028169,1.12676056338028,,999.859154929577,32.73
296,IN_8901725019754,per_100g,439.0,8.5,17.1,8.6,2.7,,1770.6,30.91
