product_id,barcode,brand,product_name,category,country,overall_health_score,nutrition_score,additive_score,ingredient_score,source_url
IN_8901063029255,8901063029255,Britannia,Jimjam 57g (57),Biscuits,India,47.42,14.55,89.29,66.79,https://world.openfoodfacts.org/product/8901063029255/jimjam-57g-57-britannia
IN_8901719135248,8901719135248,Parle,Krackjack,Biscuits,India,58.79,30.91,100.0,66.69,https://world.openfoodfacts.org/product/8901719135248/krackjack-parle
IN_8996001312506,8996001312506,Mayora,Malkist Cheese Flavoured Crunchy Layered Cracker Biscuits,"Biscuits, Crackers (Appetizers), cream-biscuit",India,51.63,27.27,81.25,68.08,https://world.openfoodfacts.org/product/8996001312506/malkist-cheese-flavoured-crunchy-layered-cracker-biscuits-mayora
IN_8901058005233,8901058005233,"KitKat, Nestle nutrition",Kitkat mini chocolate coated wafer,"Chocolate candies, Bars, Chocolate biscuits, Dark chocolate bar",India,58.56,30.91,100.0,65.5,https://world.openfoodfacts.org/product/8901058005233/kitkat-mini-chocolate-coated-wafer
IN_8901063023901,8901063023901,Britannia,Marie Gold,"Biscuits, Snack biscuit with fruits filling",India,63.73,41.82,100.0,64.1,https://world.openfoodfacts.org/product/8901063023901/marie-gold-britannia
IN_8901719135118,8901719135118,Parle,MONACO,"Appetizers, Biscuits, Monaco-biscuit",India,59.41,52.73,,75.0,https://world.openfoodfacts.org/product/8901719135118/monaco-parle
IN_8901063162532,8901063162532,Britannia,Marie gold,Biscuits,India,54.09,47.27,,70.0,https://world.openfoodfacts.org/product/8901063162532/marie-gold-britannia
IN_8906032018513,8906032018513,Patanjali,Doodh Biscuits,Biscuits,India,65.88,43.64,100.0,70.32,https://world.openfoodfacts.org/product/8906032018513/doodh-biscuits-patanjali
IN_8901719121630,8901719121630,Parle,20-20,"Confectioneries, Biscuits",India,45.18,34.55,,70.0,https://world.openfoodfacts.org/product/8901719121630/20-20-parle
IN_8901719105913,8901719105913,PARLE,parle hide & seek 120g,Chocolate biscuits,India,43.15,34.55,,63.22,https://world.openfoodfacts.org/product/8901719105913/parle-hide-seek-120g
IN_8901719130014,8901719130014,Parle,Happy happy biscuit - Parle - Parle,"Biscuits, Happy happy",India,51.55,43.64,,70.0,https://world.openfoodfacts.org/product/8901719130014/happy-happy-biscuit-parle-parle
IN_7622202225550,7622202225550,Cadbuary,Oreo choco,Filled biscuits,India,70.64,70.91,,70.0,https://world.openfoodfacts.org/product/7622202225550/oreo-choco-cadbuary
IN_8901719117183,8901719117183,Parle,Hide & Seek,Biscuits,India,43.91,32.73,,70.0,https://world.openfoodfacts.org/product/8901719117183/hide-seek-parle
IN_8901719135217,8901719135217,Parle,Krackjack,Biscuits,India,58.79,30.91,100.0,66.69,https://world.openfoodfacts.org/product/8901719135217/krackjack-parle
IN_8901063093287,8901063093287,Britannia,Good Day Cashew Cookies,Biscuits,India,62.57,36.36,100.0,71.97,https://world.openfoodfacts.org/product/8901063093287/good-day-cashew-cookies-britannia
IN_8901063014411,8901063014411,Britannia,Vita Marie Gold,Biscuits,India,79.06,72.73,100.0,63.48,https://world.openfoodfacts.org/product/8901063014411/vita-marie-gold-britannia
IN_8901725015275,8901725015275,Sunfeast is sold by ITC Limited,Dark Fantasy,"Biscuits, Chocolates",India,57.12,27.27,100.0,67.45,https://world.openfoodfacts.org/product/8901725015275/dark-fantasy-sunfeast-is-sold-by-itc-limited
IN_8906010500870,8906010500870,balaji,BALAJI CREAM ONION,"Potato crisps, Wafers",India,73.41,72.73,,75.0,https://world.openfoodfacts.org/product/8906010500870/balaji-cream-onion
IN_8901123001214,8901123001214,Lotte,Lotte Choco Pie,"Confectioneries, Biscuits, Treat",India,57.14,27.27,100.0,67.52,https://world.openfoodfacts.org/product/8901123001214/lotte-choco-pie
IN_8901063019188,8901063019188,Brotannica,Little Hearts,Biscuits,India,46.45,36.36,,70.0,https://world.openfoodfacts.org/product/8901063019188/little-hearts-brotannica
IN_8901719135729,8901719135729,Parle G,Biscuit,"Biscuit with reduced sugar, Bis",India,70.64,70.91,,70.0,https://world.openfoodfacts.org/product/8901719135729/biscuit-parle-g
IN_8901063139213,8901063139213,Britannia,Brit bourbon 150g (sys),Chocolate biscuits,India,44.27,27.27,62.5,59.44,https://world.openfoodfacts.org/product/8901063139213/brit-bourbon-150g-sys-britannia
IN_8901063014299,8901063014299,Britannia Industries Ltd.,Britannia Vita Marie Gold Biscuits,"Biscuits, Breakfast cereals",India,64.46,41.82,100.0,67.74,https://world.openfoodfacts.org/product/8901063014299/britannia-vita-marie-gold-biscuits-britannia-industries-ltd
IN_8901063019201,8901063019201,Britannia,8901063019201,Biscuits,India,42.64,30.91,,70.0,https://world.openfoodfacts.org/product/8901063019201/8901063019201-britannia
IN_8901063029279,8901063029279,Britannia,Jimjam,Biscuits,India,37.83,29.09,,58.21,https://world.openfoodfacts.org/product/8901063029279/jimjam-britannia
IN_8901063016873,8901063016873,Britannia,50-50,Biscuits,India,79.29,72.73,100.0,64.62,https://world.openfoodfacts.org/product/8901063016873/50-50-britannia
IN_8901063142664,8901063142664,Britannia,britannia,Biscuits,India,62.59,41.82,100.0,58.42,https://world.openfoodfacts.org/product/8901063142664/britannia
IN_8901491100533,8901491100533,Kurkure,Chilli Chatka 20rs,"Crisps, Crispy biscuits",India,59.94,29.09,100.0,76.96,https://world.openfoodfacts.org/product/8901491100533/chilli-chatka-20rs-kurkure
IN_8906010500030,8906010500030,Balaji Wafers,Malasa Masti,"Potato crisps, Wafers",India,48.71,36.36,,77.53,https://world.openfoodfacts.org/product/8906010500030/malasa-masti-balaji-wafers
IN_8901725016296,8901725016296,Sunfeast,Dark Fantasy Bourbon Biscuit,Chocolate biscuits,India,58.24,34.55,93.18,65.07,https://world.openfoodfacts.org/product/8901725016296/dark-fantasy-bourbon-biscuit-sunfeast
IN_8901719130144,8901719130144,Parle Biscuits PVT Ltd,Parle Hide & Seek Cookies,"Candies, Chocolate biscuits, Choco chips",India,57.27,30.91,100.0,59.06,https://world.openfoodfacts.org/product/8901719130144/parle-hide-seek-cookies-parle-biscuits-pvt-ltd
IN_8901063012868,8901063012868,Britannia,Milk bikis biscuits,Biscuit (cookie) vitamins and chemical elements content guaranteed,India,42.64,30.91,,70.0,https://world.openfoodfacts.org/product/8901063012868/milk-bikis-biscuits-britannia
IN_8901063162464,8901063162464,Britannia,BRITANNIA marie GOLD,Biscuits,India,57.5,50.0,,75.0,https://world.openfoodfacts.org/product/8901063162464/britannia-marie-gold
IN_8901719100369,8901719100369,Parle,Parle Bis Hide &seek,Biscuits,India,68.98,50.91,100.0,67.62,https://world.openfoodfacts.org/product/8901719100369/parle-bis-hide-seek
IN_8906010503550,8906010503550,Generic,Wafers,Wafers,India,61.15,32.73,100.0,73.92,https://world.openfoodfacts.org/product/8906010503550/wafers
IN_8901058005080,8901058005080,Nestlé,Munch Max,"Biscuits, Candy chocolate bars",India,59.42,32.73,100.0,65.3,https://world.openfoodfacts.org/product/8901058005080/munch-max-nestle
IN_19017198,19017198,"Parle, Simply Good, Wholesome",Parle tostea 1kg,"Biscuits, 100g wheat per amount",India,85.91,81.82,100.0,75.0,https://world.openfoodfacts.org/product/19017198/parle-tostea-1kg
IN_8909081005046,8909081005046,Sunfeast,Dark Fantasy Choco Fills,Chocolate biscuits,India,40.09,27.27,,70.0,https://world.openfoodfacts.org/product/8909081005046/dark-fantasy-choco-fills-sunfeast
IN_8901725000622,8901725000622,Sunfeast,sunfeast Mom,"Confectioneries, Biscuits",India,64.27,61.82,,70.0,https://world.openfoodfacts.org/product/8901725000622/sunfeast-mom
IN_8901063092822,8901063092822,Britannia,BRITANNIA Good day  BUTTER COOKIES,Biscuits,India,57.44,32.73,100.0,55.38,https://world.openfoodfacts.org/product/8901063092822/britannia-good-day-butter-cookies
IN_8901058022179,8901058022179,Nestlé,Munch,"Chocolate stuffed wafers, Chocolate Wafer",India,59.56,32.73,100.0,65.99,https://world.openfoodfacts.org/product/8901058022179/munch-nestle
IN_8901063367173,8901063367173,Britannia,5050 Maska Chaska,Biscuits,India,49.0,40.0,,70.0,https://world.openfoodfacts.org/product/8901063367173/5050-maska-chaska-britannia
IN_8901063142015,8901063142015,Britannia Digestive,Nutri Choice,Biscuits,India,68.26,49.09,100.0,68.58,https://world.openfoodfacts.org/product/8901063142015/nutri-choice-britannia-digestive
IN_8901725012953,8901725012953,Coffee-Mate,sunfeast Marie light 10 MRP,Biscuits,India,79.53,72.73,100.0,65.83,https://world.openfoodfacts.org/product/8901725012953/sunfeast-marie-light-10-mrp-coffee-mate
IN_8901063017627,8901063017627,Britannia,Brit 50-50 maska chaska 40g (20),Biscuits,India,81.44,72.73,100.0,75.4,https://world.openfoodfacts.org/product/8901063017627/brit-50-50-maska-chaska-40g-20-britannia
IN_8906009803777,8906009803777,Dukes,Waffy - choco flavoured wafer roll,"Chocolate stuffed wafers, Thin crunchy wafer biscuit with chocolate",India,58.81,32.73,100.0,62.21,https://world.openfoodfacts.org/product/8906009803777/waffy-choco-flavoured-wafer-roll-dukes
IN_8906010500269,8906010500269,Balaji,Poprings Masala flavour,Wafers,India,73.87,60.0,100.0,69.37,https://world.openfoodfacts.org/product/8906010500269/poprings-masala-flavour-balaji
IN_8901719125348,8901719125348,Parle,8901719125348,Biscuits,India,52.81,45.45,,70.0,https://world.openfoodfacts.org/product/8901719125348/8901719125348-parle
IN_8906009070834,8906009070834,Unibic,Unibic cashew badam cookies 500g,Biscuits,India,61.85,34.55,100.0,72.89,https://world.openfoodfacts.org/product/8906009070834/unibic-cashew-badam-cookies-500g
IN_8901063093089,8901063093089,Britannia,Good day Cashew,Biscuits,India,46.45,36.36,,70.0,https://world.openfoodfacts.org/product/8901063093089/good-day-cashew-britannia
IN_8909081001123,8909081001123,Sunfest,Bounce Chocho,"Chocolate candies, Chocolate biscuits, Biscuit (cookie) snack w chocolate filling",India,72.34,60.0,93.75,71.09,https://world.openfoodfacts.org/product/8909081001123/bounce-chocho-sunfest
IN_8901719129179,8901719129179,Parle,PARLE COCONUT,Biscuits,India,42.64,30.91,,70.0,https://world.openfoodfacts.org/product/8901719129179/parle-coconut
IN_8901719126468,8901719126468,Parle,parle 20-20,"Biscuits, Buiscuit",India,39.7,36.36,,47.5,https://world.openfoodfacts.org/product/8901719126468/parle-20-20
IN_8906032018810,8906032018810,Patanjali,Patanjali Doodh biscuits,Biscuits,India,65.56,41.82,100.0,73.25,https://world.openfoodfacts.org/product/8906032018810/patanjali-doodh-biscuits
IN_8901725015886,8901725015886,Sunfeast,Dark Fantasy Choco Fills,Chocolate biscuits,India,56.77,27.27,100.0,65.66,https://world.openfoodfacts.org/product/8901725015886/dark-fantasy-choco-fills-sunfeast
IN_8901058904741,8901058904741,KitKat,Nestle kit Kat (Ind),"Wafers, Chocolate biscuity bars",India,49.0,40.0,,70.0,https://world.openfoodfacts.org/product/8901058904741/nestle-kit-kat-ind-kitkat
IN_8901063142244,8901063142244,Britannia,Nutri choice zero,Biscuits,India,57.5,50.0,,75.0,https://world.openfoodfacts.org/product/8901063142244/nutri-choice-zero-britannia
IN_8901719135156,8901719135156,parle,PARLE MONACO,"Biscuits, Bi",India,79.71,72.73,100.0,66.74,https://world.openfoodfacts.org/product/8901719135156/parle-monaco
IN_8901719127106,8901719127106,Generic,NG,"Biscuits, Buiscuits",India,32.73,38.18,,20.0,https://world.openfoodfacts.org/product/8901719127106/ng
IN_8901063162648,8901063162648,Britannia,Britannia Marie Gold,Biscuits,India,63.25,41.82,100.0,61.7,https://world.openfoodfacts.org/product/8901063162648/britannia-marie-gold
IN_8906009079165,8906009079165,Unibic,Unibic Choco Chip Cookies,Chocolate chip cookies,India,59.05,30.91,100.0,68.0,https://world.openfoodfacts.org/product/8906009079165/unibic-choco-chip-cookies
IN_8901725015015,8901725015015,Sunfeast,8901725015015,Biscuits,India,58.82,30.91,95.59,73.46,https://world.openfoodfacts.org/product/8901725015015/8901725015015-sunfeast
IN_8901719135767,8901719135767,Parle,Parle-G ROYALE,Dry biscuits,India,59.96,36.36,100.0,58.9,https://world.openfoodfacts.org/product/8901719135767/parle-g-royale
IN_8909081005053,8909081005053,dark fantasy,8909081005053,Biscuit (cookie) snack w chocolate filling,India,56.93,27.27,100.0,66.47,https://world.openfoodfacts.org/product/8909081005053/8909081005053-dark-fantasy
IN_8901063139336,8901063139336,Britannia,Britannia bourbon 100g,Biscuits,India,48.5,29.09,71.88,61.98,https://world.openfoodfacts.org/product/8901063139336/britannia-bourbon-100g
IN_8901063142466,8901063142466,Britannia,Nutri Choice Digestive,Biscuits,India,66.66,47.27,100.0,65.11,https://world.openfoodfacts.org/product/8901063142466/nutri-choice-digestive-britannia
IN_8908008674808,8908008674808,Nabati,Wafer,"Chocolate biscuits, Stuffed wafers",India,59.4,30.91,100.0,69.75,https://world.openfoodfacts.org/product/8908008674808/wafer-nabati
IN_8901063004139,8901063004139,Britannia,Britannia Good day Chocolate Cookies 400g,"Chocolate biscuits, Chocolate biscuity bars",India,56.28,27.27,100.0,63.25,https://world.openfoodfacts.org/product/8901063004139/britannia-good-day-chocolate-cookies-400g
IN_8901063028234,8901063028234,Brittania,Unknown Product,Biscuits,India,45.18,34.55,,70.0,https://world.openfoodfacts.org/product/8901063028234/brittania
IN_8901719134937,8901719134937,Parle,Parle g dark biscuits,"Biscuits, Parle g biscuit",India,64.12,40.0,100.0,70.58,https://world.openfoodfacts.org/product/8901719134937/parle-g-dark-biscuits
IN_8901725016234,8901725016234,Sunfeast,Sunfeast Dark Fantasy Bourbon,Biscuit with a chocolate bar covering,India,79.39,72.73,100.0,65.15,https://world.openfoodfacts.org/product/8901725016234/sunfeast-dark-fantasy-bourbon
IN_8906010500214,8906010500214,Balaji Wafers,Balaji Wafers Sev Murmura,"Snacks, Puffed rice",India,64.89,38.18,100.0,79.01,https://world.openfoodfacts.org/product/8906010500214/balaji-wafers-sev-murmura
IN_8901499008169,8901499008169,Kellogg's,Chocos,Breakfast cereals filled with chocolate,India,73.28,56.36,100.0,75.48,https://world.openfoodfacts.org/product/8901499008169/chocos-kellogg-s
IN_8901491103794,8901491103794,"Pepsico, Quaker",Oats,Rolled oats,India,77.0,80.0,,70.0,https://world.openfoodfacts.org/product/8901491103794/oats-pepsico
IN_8901499010513,8901499010513,Kellogg's,"Muesli Fruit, Nut & Seeds",Mueslis with fruits,India,71.34,74.55,62.5,76.56,https://world.openfoodfacts.org/product/8901499010513/muesli-fruit-nut-seeds-kellogg-s
IN_8901088068734,8901088068734,Saffola,Saffola Masala Oats - Classic Masala,"Rolled oats, Oat",India,59.39,52.73,,74.93,https://world.openfoodfacts.org/product/8901088068734/saffola-masala-oats-classic-masala
IN_8904335604150,8904335604150,Yoga Bar,Yoga Bar Millet Muesli,Mueslis,India,82.92,74.55,100.0,78.2,https://world.openfoodfacts.org/product/8904335604150/yoga-bar-millet-muesli
IN_8908005144632,8908005144632,Yoga bar,Muesli dark chocolate cranberry,Mueslis,India,66.51,61.82,,77.46,https://world.openfoodfacts.org/product/8908005144632/muesli-dark-chocolate-cranberry-yoga-bar
IN_8901491103800,8901491103800,Quaker,Oats,Rolled oats,India,86.0,80.0,,100.0,https://world.openfoodfacts.org/product/8901491103800/oats-quaker
IN_8906136651968,8906136651968,Pintola,High Protein Oats Chocolate,"Breakfast cereals, Oat",India,74.73,72.73,,79.38,https://world.openfoodfacts.org/product/8906136651968/high-protein-oats-chocolate-pintola
IN_8901499023339,8901499023339,Kellogg's,"Muesli Fruit, Nut & Seeds","Seeds, Mueslis with nuts",India,81.81,72.73,100.0,77.25,https://world.openfoodfacts.org/product/8901499023339/muesli-fruit-nut-seeds-kellogg-s
IN_8901491702188,8901491702188,Quaker,Oats,Rolled oats,India,77.0,80.0,,70.0,https://world.openfoodfacts.org/product/8901491702188/oats-quaker
IN_8901088213608,8901088213608,"Saffola, Marico",Saffola Oats,Rolled oats,India,87.27,81.82,,100.0,https://world.openfoodfacts.org/product/8901088213608/saffola-oats
IN_8906113490887,8906113490887,Tata Soulfull,Tata Soulfull Millet Muesli,Mueslis with nuts,India,77.51,72.73,87.5,74.46,https://world.openfoodfacts.org/product/8906113490887/tata-soulfull-millet-muesli
IN_8908005144618,8908005144618,Yoga Bar,Yoga Bar Super Muesli 0% Added Sugar,Mueslis,India,85.94,80.0,100.0,79.69,https://world.openfoodfacts.org/product/8908005144618/yoga-bar-super-muesli-0-added-sugar
IN_8901499010483,8901499010483,Kellogg's,Kelloggs Muesli,"Cereal flakes, Mueslis with fruits",India,71.31,74.55,62.5,76.4,https://world.openfoodfacts.org/product/8901499010483/kelloggs-muesli-kellogg-s
IN_8906127550850,8906127550850,Alpino,High protein super oats chocolate,"Mueslis, Rolled oats",India,74.68,72.73,,79.23,https://world.openfoodfacts.org/product/8906127550850/high-protein-super-oats-chocolate-alpino
IN_8904335601869,8904335601869,Yoga bar,Yoga bar 23G protein muesli + choco almond + cranberry,Mueslis,India,76.7,61.82,100.0,78.94,https://world.openfoodfacts.org/product/8904335601869/yoga-bar-23g-protein-muesli-choco-almond-cranberry
IN_8901499010742,8901499010742,Kellogg's,Chocos Crunchy Bites,"Chocolate cereals, Food",India,66.3,58.18,75.0,73.57,https://world.openfoodfacts.org/product/8901499010742/chocos-crunchy-bites-kellogg-s
IN_8904335601951,8904335601951,Yoga Bar,100% Rolled Oats,Rolled oats,India,79.75,80.0,,79.17,https://world.openfoodfacts.org/product/8904335601951/100-rolled-oats-yoga-bar
IN_8908005144649,8908005144649,Yoga Bar,Muesli+ (Fruits + Nuts & Seeds),"Mueslis, Protein Energy Bars",India,78.65,78.18,,79.74,https://world.openfoodfacts.org/product/8908005144649/muesli-fruits-nuts-seeds-yoga-bar
IN_8901499008800,8901499008800,Kellogg's,Kellogg's chochos,Breakfast cereals,India,57.5,50.0,,75.0,https://world.openfoodfacts.org/product/8901499008800/kellogg-s-chochos
IN_8902710500752,8902710500752,Baggry’s,Nutty Fruity Muesli,"Mueslis, Breakfast cereals diet with dried fruits fortified with vitamins and chemical elements",India,71.91,72.73,,70.0,https://world.openfoodfacts.org/product/8902710500752/nutty-fruity-muesli-baggry-s
IN_8901088155496,8901088155496,Saffola,Saffola oats,Rolled oats,India,87.27,81.82,,100.0,https://world.openfoodfacts.org/product/8901088155496/saffola-oats
IN_8901088055772,8901088055772,Saffola,Oats,"Rolled oats, Oat",India,77.0,80.0,,70.0,https://world.openfoodfacts.org/product/8901088055772/oats-saffola
IN_8901499008244,8901499008244,Kellogg's,Chocos Moons & Stars,Breakfast cereals,India,61.16,54.55,62.5,75.68,https://world.openfoodfacts.org/product/8901499008244/chocos-moons-stars-kellogg-s
IN_8904335601890,8904335601890,Yoga bar,Yoga bar High Protein Muesli+,"Mueslis, Dietary supplements, Oat",India,65.37,60.0,,77.88,https://world.openfoodfacts.org/product/8904335601890/yoga-bar-high-protein-muesli
IN_8901499009043,8901499009043,Kellogg's,kelloggs chocos multigrain,Breakfast cereals filled with chocolate,India,60.45,56.36,,70.0,https://world.openfoodfacts.org/product/8901499009043/kelloggs-chocos-multigrain-kellogg-s
IN_8901499010728,8901499010728,Kellogg's,Kellogg's chocos,Breakfast cereals,India,73.19,74.55,,70.0,https://world.openfoodfacts.org/product/8901499010728/kellogg-s-chocos
IN_8906136651951,8906136651951,Pintola,Pintola High Protein Oats Dark Chocolate,"Breakfast cereals, Bodybuilding supplements",India,66.9,61.82,,78.76,https://world.openfoodfacts.org/product/8906136651951/pintola-high-protein-oats-dark-chocolate
IN_8901499009708,8901499009708,Kellogg's,Kellogg's Choco fills,"Breakfast cereals, Chocolates",India,57.31,50.91,,72.24,https://world.openfoodfacts.org/product/8901499009708/kellogg-s-choco-fills
IN_8901491363020,8901491363020,10,Chilli Chatka,"Crisps, Corn flakes",India,60.14,30.91,100.0,73.43,https://world.openfoodfacts.org/product/8901491363020/chilli-chatka-10
IN_8901499008183,8901499008183,Kellogg's,Corn Flakes Original,Corn flakes,India,55.22,65.45,25.0,75.0,https://world.openfoodfacts.org/product/8901499008183/corn-flakes-original-kellogg-s
IN_8901499009623,8901499009623,Kellogg's,Chocos Fills,"Breakfast cereals filled with chocolate, Unfortified diet chocolate breakfast cereals",India,69.54,49.09,100.0,75.0,https://world.openfoodfacts.org/product/8901499009623/chocos-fills-kellogg-s
IN_8906080349652,8906080349652,Vijay,"Murmura, Kurmura","Rices, Puffed rice, Vegetables from Spain, Roasted-rice",India,72.14,70.91,,75.0,https://world.openfoodfacts.org/product/8906080349652/murmura-kurmura-vijay
IN_0641837433199,0641837433199,Doctor's Choice,Protein Oats,Rolled oats,India,66.16,61.82,,76.27,https://world.openfoodfacts.org/product/0641837433199/protein-oats-doctor-s-choice
IN_8906136651982,8906136651982,Pintola,High Protein Muesli,Mueslis,India,71.91,72.73,,70.0,https://world.openfoodfacts.org/product/8906136651982/high-protein-muesli-pintola
IN_8901042967325,8901042967325,MTR,MTR POHA 60 g,Breakfast cereals,India,65.55,63.64,,70.0,https://world.openfoodfacts.org/product/8901042967325/mtr-poha-60-g
IN_8901499010704,8901499010704,Kellogg's,Chocos,Breakfast cereals,India,68.31,65.45,,75.0,https://world.openfoodfacts.org/product/8901499010704/chocos-kellogg-s
IN_8908002984958,8908002984958,Tata,Tata soulfull millet muesli,"Mueslis, Millet-muesli",India,82.2,72.73,100.0,79.17,https://world.openfoodfacts.org/product/8908002984958/tata-soulfull-millet-muesli
IN_8903363007643,8903363007643,Nutri Delite,Nutri Delite Crunchies,"Snacks, Breakfast cereals",India,69.76,50.91,100.0,71.54,https://world.openfoodfacts.org/product/8903363007643/nutri-delite-crunchies
IN_8904335600336,8904335600336,Yoga Bar,Muesli+,Mueslis,India,78.83,78.18,,80.34,https://world.openfoodfacts.org/product/8904335600336/muesli-yoga-bar
IN_8901499010711,8901499010711,Kellogg's,Kellogg'sCHOCOS,Chocolate cereals,India,63.0,60.0,,70.0,https://world.openfoodfacts.org/product/8901499010711/kellogg-schocos-kellogg-s
IN_8901499011398,8901499011398,Kellogg's,Kellogg's Museli Nuts delight,"Bars, Mueslis, Cereal flakes",India,82.52,74.55,100.0,76.24,https://world.openfoodfacts.org/product/8901499011398/kellogg-s-museli-nuts-delight
IN_8901499006936,8901499006936,Kellogg's,Kellogg's Chocos,"Breakfast cereals, Chocos",India,59.18,54.55,,70.0,https://world.openfoodfacts.org/product/8901499006936/kellogg-s-chocos
IN_8906112662803,8906112662803,True Elements,Muesli,Mueslis with fruits,India,84.51,76.36,100.0,81.63,https://world.openfoodfacts.org/product/8906112662803/muesli-true-elements
IN_8906112662414,8906112662414,True Elements,Rolled oats,"Rolled oats, Oat",India,84.73,78.18,,100.0,https://world.openfoodfacts.org/product/8906112662414/rolled-oats-true-elements
IN_8904335600343,8904335600343,yoga bar,chocolate cranberry museli,"Chocolate cereals, Mueslis",India,76.57,61.82,100.0,78.29,https://world.openfoodfacts.org/product/8904335600343/chocolate-cranberry-museli-yoga-bar
IN_8901499008190,8901499008190,Kellogg's,Corn flakes,Corn flakes,India,50.68,56.36,25.0,75.0,https://world.openfoodfacts.org/product/8901499008190/corn-flakes-kelloggs
IN_8901499009135,8901499009135,Kellogg's,Corn Flakes Original,Corn flakes,India,60.45,56.36,,70.0,https://world.openfoodfacts.org/product/8901499009135/corn-flakes-original-kellogg-s
IN_8901499010476,8901499010476,Kellogg's,Unknown Product,Mueslis,India,85.21,80.0,100.0,76.04,https://world.openfoodfacts.org/product/8901499010476/muesli-0-added-sugar-kellogg-s
IN_8901088213974,8901088213974,Saffola Oats,Creamy Oats,Breakfast cereals,India,78.27,81.82,,70.0,https://world.openfoodfacts.org/product/8901088213974/creamy-oats-saffola-oats
IN_8901088772433,8901088772433,Saffola,Saffola Masala Millets,Breakfast cereals,India,70.83,52.73,100.0,72.34,https://world.openfoodfacts.org/product/8901088772433/saffola-masala-millets
IN_8904335600800,8904335600800,Yoga bar,Rolled Oats,"Rolled oats, 6.3 Oat products",India,87.27,81.82,,100.0,https://world.openfoodfacts.org/product/8904335600800/rolled-oats-yoga-bar
IN_8906136651975,8906136651975,Pintola,High Protein Muesli,Mueslis,India,74.0,72.73,,76.96,https://world.openfoodfacts.org/product/8906136651975/high-protein-muesli-pintola
IN_8906008350500,8906008350500,Manna,Oats,Rolled oats,India,86.0,80.0,,100.0,https://world.openfoodfacts.org/product/8906008350500/oats-manna
IN_8901499010216,8901499010216,Kellogg's,Corn Flakes1.20 kg,Corn flakes,India,73.18,56.36,100.0,75.0,https://world.openfoodfacts.org/product/8901499010216/corn-flakes1-20-kg-kellogg-s
IN_8901491103787,8901491103787,"Pepsico, Quaker",Flocon d'avoine pour poridg,Rolled oats,India,51.55,43.64,,70.0,https://world.openfoodfacts.org/product/8901491103787/flocon-d-avoine-pour-poridg-pepsico
IN_8904335600756,8904335600756,Generic,Yoga bar oats dark chocolate,Breakfast cereals,India,76.57,61.82,100.0,78.29,https://world.openfoodfacts.org/product/8904335600756/yoga-bar-oats-dark-chocolate
IN_8901499010773,8901499010773,Kellogg's,Chocos Moons and Stars,Extruded cereals,India,59.35,50.91,62.5,75.73,https://world.openfoodfacts.org/product/8901499010773/chocos-moons-and-stars-kellogg-s
IN_8903363007636,8903363007636,Nutri Delite,Nutri Delite 2 in 1s,Extruded cereals,India,69.23,49.09,100.0,73.41,https://world.openfoodfacts.org/product/8903363007636/nutri-delite-2-in-1s
IN_8901499008893,8901499008893,Kellogg's,Kellogg's Corn flakes original,Corn flakes,India,75.91,61.82,100.0,75.0,https://world.openfoodfacts.org/product/8901499008893/kellogg-s-corn-flakes-original
IN_8901499008343,8901499008343,Kellogg's,CornFlakes Almond Honey,Corn flakes,India,50.27,41.82,,70.0,https://world.openfoodfacts.org/product/8901499008343/cornflakes-almond-honey-kellogg-s
